Reg;nbHot;nbHpub;nbHpri;nbMed;nbMedM;PartLitPub;PartLitPri;Ensemble
Alsace;7930;5438;2492;6533;7;3;3;3,078224955
Aquitaine;14079;8011;6068;11551;12;5;6;5,465110863
Auvergne;5932;4117;1815;4121;4;3;2;2,302652009
Bourgogne;7464;5169;2295;4758;5;3;2;2,897335569
Bretagne;13090;8784;4306;10061;10;5;5;5,081206136
Centre;9997;6624;3373;6835;7;4;4;3,880581951
Champagne;6274;4040;2234;3773;4;2;2;2,435407739
Corse;1192;657;535;941;1;0;1;0,46270418
Franche-Comté;4770;3786;984;3571;4;2;1;1,851593069
IdF;46343;27715;18328;47491;47;17;20;17,8727253
Languedoc;10803;5991;4812;9845;10;4;5;4,193450717
Limousin;3794;2634;1160;2524;3;4;1;1,472734613
Lorraine;10176;6478;3698;7166;7;4;4;3,950065213
Midi-Pyrénées;10903;6411;4492;10151;10;4;5;4,232268182
Nord Pas-de-Calais;17509;10304;7205;12491;12;6;8;6,796549904
Basse-Normandie;6658;5004;1654;4301;4;3;2;2,584466803
Haute-Normandie;6576;4365;2211;5060;5;3;2;2,552636482
Pays-de-la-Loire;13224;8194;5030;10224;10;5;5;5,133221539
Picardie;7427;5669;1758;4959;5;3;2;2,882973107
Poitou-Charentes;6791;5028;1763;5267;5;3;2;2,636094031
PACA;21428;11624;9804;20172;20;7;9;8,317806347
Rhône-Alpes;25256;16434;8822;21432;21;10;9;9,803738898
